"","Gene","chr","start","end","symbol","final.meta.pvalue.for.plot","scz.ptv.pvalue","asd.ptv.pvalue","bp.ptv.pvalue"
"132","ENSG00000115524",2,197388515,197435079,"SF3B1",0.0397818224556051,0.0397818224556051,1,NA
"133","ENSG00000040731",5,24487100,24644978,"CDH10",0.716138762742384,0.716138762742384,1,1
"134","ENSG00000065883",7,39950121,40099580,"CDK13",0.230101525562953,1,0.386773407587887,0.24144
"135","ENSG00000088899",20,3162617,3173549,"LZTS3",0.426826975759787,NA,0.386773407587887,0.49138
"136","ENSG00000131165",16,89640816,89657738,"CHMP1A",1,1,1,NA
"137","ENSG00000181722",3,114314500,115147288,"ZBTB20",0.386773407587887,1,0.386773407587887,NA
"138","ENSG00000198597",19,30228290,30713538,"ZNF536",0.0372649042978676,0.0849185579629554,0.0223634467441294,0.49138
"139","ENSG00000076984",19,7903843,7914478,"MAP2K7",0.181971145087477,0.199457102903677,1,0.36658
"140","ENSG00000185000",8,144314584,144326910,"DGAT1",0.43377031446212,0.448730914212303,1,0.45356
"141","ENSG00000175087",1,26111165,26125555,"PDIK1L",1,1,1,NA
"142","ENSG00000100075",22,19175581,19178739,"SLC25A1",0.999999999992401,1,0.149577156721715,0.49138
"143","ENSG00000172845",2,173880850,173965373,"SP3",1,1,1,NA
"144","ENSG00000096384",6,44246166,44253888,"HSP90AB1",0.120867089344298,0.127354234443374,0.386773407587887,1
"145","ENSG00000196296",16,28878405,28904466,"ATP2A1",0.315143212720421,0.360316649356791,0.718951170938255,0.20306
"146","ENSG00000136448",17,44957992,45109016,"NMT1",0.488313875430478,0.486960084461307,1,0.50013
"147","ENSG00000088367",20,36091504,36232799,"EPB41L1",0.16242798392857,0.173054867508088,0.386773407587887,1
"148","ENSG00000080503",9,1980290,2193624,"SMARCA2",0.0236756316471345,0.0409167589802002,0.149577156721715,1
"149","ENSG00000082701",3,119821321,120094994,"GSK3B",0.368967090816061,0.486960084461307,1,0.24144
"150","ENSG00000079102",8,91954967,92103286,"RUNX1T1",0.260039919883745,0.261606823710464,0.386773407587887,0.49138
"151","ENSG00000137193",6,37170152,37175428,"PIM1",0.386773407587887,1,0.386773407587887,NA
"152","ENSG00000023902",1,150149183,150164720,"PLEKHO1",0.386773407587887,1,0.386773407587887,NA
"153","ENSG00000214022",7,150368189,150374044,"REPIN1",0.0421599839431722,0.198359966940919,0.386773407587887,0.014069
"154","ENSG00000170315",17,16380798,16382745,"UBB",0.477410058214077,0.467327934049897,0.525607498267655,1
"155","ENSG00000198719",6,170282206,170306565,"DLL1",0.186388604705691,0.199457102903677,0.386773407587887,NA
"156","ENSG00000197170",17,67337916,67366605,"PSMD12",0.49138,1,1,0.49138
"157","ENSG00000087085",7,100889994,100896974,"ACHE",0.103476981132632,0.103476981132632,1,1
"158","ENSG00000152601",3,152243828,152465780,"MBNL1",1,1,1,1
"159","ENSG00000151693",2,9206765,9405683,"ASAP2",0.510632184561906,0.563134906080179,0.149577156721715,0.68228
"160","ENSG00000161526",17,75667251,75708062,"SAP30BP",0.749857951488187,0.805704388743167,0.643209706352675,0.33578
"161","ENSG00000114933",2,205993721,206086303,"INO80D",0.0966340320442927,0.20188253736258,0.0578396942444061,1
"162","ENSG00000136574",8,11676959,11760002,"GATA4",0.260039919883745,0.261606823710464,0.386773407587887,0.49138
"163","ENSG00000198780",5,74777574,74866966,"FAM169A",0.386773407587887,1,0.386773407587887,1
"164","ENSG00000215421",18,74597870,75065671,"ZNF407",0.560791805639793,0.698000451129502,0.149577156721715,1
"165","ENSG00000155380",1,112911847,112957593,"SLC16A1",0.999678154308969,0.784207486589041,1,1
"166","ENSG00000066322",1,43363398,43368074,"ELOVL1",0.589292064949287,0.589292064949287,1,NA
"167","ENSG00000206203",22,19131308,19132622,"TSSK2",0.24144,1,1,0.24144
"168","ENSG00000146006",5,138868921,138875368,"LRRTM2",0.465958568423259,0.6324949752931,0.386773407587887,0.24144
"169","ENSG00000166313",11,6395124,6419414,"APBB1",0.0565916817915981,0.0575001219277247,0.386773407587887,1
"170","ENSG00000072803",5,171861549,172006873,"FBXW11",0.40195732427407,0.395394267510258,1,0.49138
"171","ENSG00000161202",3,184155377,184173614,"DVL3",0.710506530359604,0.753530409879608,0.386773407587887,1
"172","ENSG00000196843",2,96536743,96552634,"ARID5A",0.592702908441394,0.589292064949287,0.386773407587887,0.61863
"173","ENSG00000184408",7,120273175,120750337,"KCND2",0.689004810287315,0.749176419606265,0.386773407587887,0.50013
"174","ENSG00000213923",22,38290691,38318084,"CSNK1E",0.6324949752931,0.6324949752931,1,NA
"175","ENSG00000094880",5,138187650,138213343,"CDC23",0.730796667681717,0.704511146679628,1,0.61863
"176","ENSG00000092148",14,31100112,31207804,"HECTD1",0.586479296126844,0.505459741494647,1,0.68228
"177","ENSG00000105926",7,24573268,24694193,"MPP6",0.119910763693542,0.119910763693542,1,1
"178","ENSG00000175727",12,122078756,122147344,"MLXIP",0.0717523945171179,0.055778822042778,0.386773407587887,0.49138
"179","ENSG00000163479",1,156009048,156020951,"SSR2",0.386773407587887,1,0.386773407587887,1
"180","ENSG00000167658",19,3976056,3985463,"EEF2",0.00745140943644749,0.00664961749467622,0.386773407587887,NA
"181","ENSG00000178385",2,207821288,208025527,"PLEKHM3",0.0394895577712212,0.121493576117093,0.0223634467441294,1
"182","ENSG00000143207",1,175944831,176207286,"COP1",0.697188376621878,0.697188376621878,1,1
"183","ENSG00000171044",8,10896045,11201833,"XKR6",0.000770584478047266,0.000315576126527208,0.386773407587887,0.36658
"184","ENSG00000141956",21,41798225,41879482,"PRDM15",0.0559228148700829,0.160771702416519,0.0223634467441294,1
"185","ENSG00000114982",2,96593170,96642787,"KANSL3",0.168699839696282,0.179964142997368,0.386773407587887,1
"186","ENSG00000108510",17,61942605,62065278,"MED13",0.188999232712466,0.179964142997368,0.386773407587887,0.49138
"187","ENSG00000130226",7,153887097,154894285,"DPP6",0.0197909379070163,0.0813394285617694,0.0578396942444061,0.17273
"188","ENSG00000137075",9,36336396,36487548,"RNF38",0.135179759159198,0.199457102903677,0.386773407587887,0.24144
"189","ENSG00000158796",1,161120974,161132688,"DEDD",0.0990504210099784,0.103476981132632,0.386773407587887,1
"190","ENSG00000115421",2,60756253,60802086,"PAPOLG",0.6252,1,1,0.6252
"191","ENSG00000073712",14,52857268,52952435,"FERMT2",0.61863,1,1,0.61863
"192","ENSG00000161217",3,196214222,196287957,"PCYT1A",0.169461389659158,0.150732318884183,0.525607498267655,1
"193","ENSG00000116604",1,156463727,156500779,"MEF2D",0.450477964626488,0.486960084461307,0.386773407587887,1
"194","ENSG00000184232",11,120211032,120230334,"OAF",0.288411247401483,1,0.288411247401483,1
"195","ENSG00000162959",2,31865060,32011230,"MEMO1",0.386773407587887,1,0.386773407587887,NA
"196","ENSG00000072134",17,19215615,19336715,"EPN2",0.246462814819187,0.246462814819187,1,1
"197","ENSG00000125730",19,6677704,6730562,"C3",0.639165970425742,0.634715229134915,1,0.54224
"198","ENSG00000162104",16,3953387,4116442,"ADCY9",0.723633671267817,0.788860097855381,0.305642416490482,1
"199","ENSG00000197535",15,52307283,52529050,"MYO5A",0.464056489763395,0.00211472459368013,1,0.44535
"200","ENSG00000084731",2,25926598,25982749,"KIF3C",0.00110084436931728,0.000849051975553059,0.386773407587887,NA
"201","ENSG00000179010",4,6640091,6642745,"MRFAP1",1,1,1,NA
"202","ENSG00000174485",15,65658046,65792293,"DENND4A",0.853732635987453,0.824462447080445,1,0.68775
"203","ENSG00000135250",7,105110704,105399308,"SRPK2",1,1,1,1
"204","ENSG00000150347",10,61901684,62096944,"ARID5B",0.0565916817915981,0.0575001219277247,0.386773407587887,NA
"205","ENSG00000070808",5,150219491,150290093,"CAMK2A",0.0765508935736874,0.0575001219277247,1,0.49138
"206","ENSG00000141367",17,59619689,59696956,"CLTC",0.0114936492749642,0.0114936492749642,1,1
"207","ENSG00000018189",4,70704204,70808619,"RUFY3",0.510264979876643,0.784207486589041,1,0.058286
"208","ENSG00000172780",3,129087569,129122801,"RAB43",0.179964142997368,0.179964142997368,1,NA
"209","ENSG00000196531",12,56712305,56731628,"NACA",0.592298121675076,0.705183497429348,1,0.28096
"210","ENSG00000102974",16,67562467,67639177,"CTCF",1,1,1,NA
"211","ENSG00000107485",10,8045378,8075198,"GATA3",0.0397818224556051,0.0397818224556051,1,1
"212","ENSG00000112078",6,36442767,36491143,"KCTD20",0.0578396942444061,1,0.0578396942444061,1
"213","ENSG00000156395",10,104641290,105265242,"SORCS3",0.28872921291673,0.48072942288944,0.0578396942444061,1
"214","ENSG00000189056",7,103471381,103989658,"RELN",0.156932407537907,0.159404135555254,0.305642416490482,0.50067
"215","ENSG00000162599",1,60865259,61462788,"NFIA",0.261606823710464,0.261606823710464,1,1
"216","ENSG00000151150",10,60026298,60733490,"ANK3",0.0264654094924034,0.0317967109370184,0.0578396942444061,0.61863
"217","ENSG00000080802",7,135361795,135510127,"CNOT4",0.00793424311709169,0.00793424311709169,1,1
"218","ENSG00000141837",19,13206442,13633025,"CACNA1A",0.117023072966496,1,0.0578396942444061,0.36658
"219","ENSG00000036257",2,224470150,224585397,"CUL3",0.606510850488877,0.606510850488877,1,NA
"220","ENSG00000088812",20,3471018,3651118,"ATRN",0.588111152835838,0.781199814223,0.0578396942444061,1
"221","ENSG00000181090",9,137618992,137870016,"EHMT1",0.0578396942444061,1,0.0578396942444061,1
"222","ENSG00000088038",19,54137749,54155681,"CNOT3",0.386773407587887,1,0.386773407587887,NA
"223","ENSG00000100354",22,40044817,40335808,"TNRC6B",0.652641728381711,0.698000451129502,0.3814988955957,1
"224","ENSG00000104435",8,79611117,79666158,"STMN2",1,1,1,1
"225","ENSG00000163104",4,94207611,94291292,"SMARCAD1",0.0122372078312411,0.0330294040398868,0.0578396942444061,1
"226","ENSG00000143816",1,227918656,227947932,"WNT9A",0.331882330711822,0.359132383351749,0.386773407587887,NA
"227","ENSG00000078687",17,77959240,78108835,"TNRC6C",0.285027371391349,0.395394267510258,0.0578396942444061,0.61863
"228","ENSG00000108509",17,4967992,4987675,"CAMTA2",0.0180733078726113,0.0165291338960059,0.0578396942444061,0.68775
"229","ENSG00000018236",12,40692439,41072415,"CNTN1",0.178084664829015,0.437431811994595,0.0578396942444061,0.21912
"230","ENSG00000138398",2,169584342,169641406,"PPIG",0.0619680813208657,1,0.149577156721715,0.1252
"231","ENSG00000126705",1,27534035,27604431,"AHDC1",0.386773407587887,1,0.386773407587887,NA
"232","ENSG00000143365",1,151806071,151831845,"RORC",0.428654102680588,0.428654102680588,1,1
"233","ENSG00000123636",2,159318979,159616569,"BAZ2B",0.109569210771402,0.148735517645259,0.0578396942444061,0.6252
"234","ENSG00000107164",9,130578965,130638352,"FUBP3",0.129296958345649,1,0.386773407587887,0.11863
"235","ENSG00000115504",2,62673851,63046487,"EHBP1",0.38184895545471,0.601665204945601,0.0578396942444061,0.44535
"236","ENSG00000022355",5,161847063,161899981,"GABRA1",0.128133752374792,0.199457102903677,0.149577156721715,1
"237","ENSG00000119042",2,199269500,199471266,"SATB2",0.149577156721715,1,0.149577156721715,NA
"238","ENSG00000159256",21,36320189,36386148,"MORC3",0.0628360797384927,0.0628360797384927,1,1
"239","ENSG00000179981",18,75210755,75289950,"TSHZ1",0.357798026124869,0.357798026124869,1,1
"240","ENSG00000107560",10,118004916,118046941,"RAB11FIP2",0.301234569028563,0.400144228036815,1,0.2502
"241","ENSG00000250571",8,143267433,143276931,"GLI4",0.357798026124869,0.357798026124869,1,1
"242","ENSG00000107105",9,23690104,23826337,"ELAVL2",1,1,1,NA
"243","ENSG00000070367",14,57200507,57268905,"EXOC5",0.0628902253760361,0.103476981132632,0.149577156721715,NA
"244","ENSG00000188191",7,549197,727650,"PRKAR1B",0.189424133027948,0.261606823710464,1,0.24144
"245","ENSG00000127804",17,2405562,2511891,"METTL16",0.104315647345215,0.109228791720766,0.386773407587887,1
"246","ENSG00000165868",10,116671192,116850251,"HSPA12A",0.632627839206259,1,0.56362363483341,0.61863
"247","ENSG00000104388",8,60516936,60623644,"RAB2A",1,1,1,NA
"248","ENSG00000198742",7,99027440,99144108,"SMURF1",0.531520573273709,1,0.386773407587887,0.61863
"249","ENSG00000244462",20,35648925,35664956,"RBM12",0.0374311715345513,0.135516966726897,0.0223634467441294,0.28096
"250","ENSG00000138443",2,203328280,203447728,"ABI2",0.47062946760562,0.467327934049897,1,0.50013
"251","ENSG00000009335",7,157138916,157269370,"UBE3C",1,1,1,1
"252","ENSG00000043143",5,134524312,134583230,"JADE2",0.301954539272535,0.246462814819187,0.654973525309712,1
"253","ENSG00000140350",15,68778535,68820897,"ANP32A",0.00793424311709169,0.00793424311709169,1,1
"254","ENSG00000220205",17,8159149,8163546,"VAMP2",0.220943146449819,0.199457102903677,1,0.49138
"255","ENSG00000100243",22,42617840,42649392,"CYB5R3",0.107980425442963,0.55479002013882,0.00864576675185619,0.058286
"256","ENSG00000171617",5,74627406,74641424,"ENC1",0.391643540035295,0.357798026124869,0.56362363483341,0.49138
"257","ENSG00000128203",22,26429260,26445015,"ASPHD2",0.306456258582358,0.306456258582358,1,1
"258","ENSG00000151883",5,50665899,50846519,"PARP8",0.980852651701231,0.263908963997667,1,1
"259","ENSG00000100353",22,36510855,36529184,"EIF3D",0.452488807817375,0.590393448451471,0.149577156721715,0.49138
"260","ENSG00000143153",1,169105697,169132722,"ATP1B1",0.0561264591293793,0.0397818224556051,1,0.49138
"261","ENSG00000106484",7,130486171,130506465,"MEST",0.68228,1,1,0.68228
"262","ENSG00000106078",7,51016212,51316818,"COBL",0.391637013708164,0.493867357488868,0.0578396942444061,0.68775
