"","Gene","chr","start","end","symbol","final.meta.pvalue.for.plot","scz.meta.pvalue","asd.meta.pvalue.for.plot","bp.ptv.pvalue"
"55","ENSG00000126464",19,49591182,49626439,"PRR12",0.0033687777879549,0.146,5.94526441962938e-05,1
"56","ENSG00000157933",1,2228319,2310213,"SKI",0.185822404859536,0.837,6.46900432392771e-05,1
"57","ENSG00000141431",18,33578219,33751195,"ASXL3",0.194033083553997,0.741,7.03969795696991e-05,0.72685
"58","ENSG00000021574",2,32063556,32157637,"SPAST",0.00433040004923602,0.161,7.61307819756317e-05,1
"59","ENSG00000139613",12,56162359,56189567,"SMARCC2",0.00429756708963385,0.158,8.18882314802856e-05,1
"60","ENSG00000153827",2,229763837,229923239,"TRIP12",0.35999194540862,0.967,8.76514999045202e-05,0.24144
"61","ENSG00000005339",16,3725054,3880713,"CREBBP",0.349687487725886,0.934,9.34511056244339e-05,1
"62","ENSG00000196628",18,55222185,55664787,"TCF4",0.216376184001488,0.853,9.93200431521172e-05,1
"63","ENSG00000198216",1,181317690,181808084,"CACNA1E",0.000776169066582376,0.0157,0.000106124464857489,0.68228
"64","ENSG00000127955",7,79768028,80226181,"GNAI1",0.01741005840501,0.322,0.000113177243002836,1
"65","ENSG00000100207",22,42160013,42343616,"TCF20",0.159391597434819,0.759,0.000120413874245571,0.49138
"66","ENSG00000128573",7,114086327,114693772,"FOXP2",0.00256342558035494,0.0667,0.000127728875192445,0.49138
"67","ENSG00000165671",5,177133025,177300213,"NSD1",0.177994381925098,0.803,0.000135213553358155,1
"68","ENSG00000148737",10,112950247,113167678,"TCF7L2",0.0219602307151449,0.35,0.000142762858673251,1
"69","ENSG00000198728",10,102106489,102120368,"LDB1",0.0563620421780591,0.536,0.000150995948942472,1
"70","ENSG00000130811",19,10115014,10119918,"EIF3G",0.18293983926158,0.863,0.000159532489677484,0.24144
"71","ENSG00000197724",9,93576584,93679587,"PHF2",0.000839719519215432,1,0.000168514115857016,0.24144
"72","ENSG00000170871",4,6781375,6884170,"KIAA0232",0.00250137992048192,0.0955,0.00017791631373475,1
"73","ENSG00000136451",17,57971547,57988259,"VEZF1",0.0156970240269119,0.282,0.000187608652847319,NA
"74","ENSG00000131095",17,44903159,44916937,"GFAP",0.200889270983944,0.815,0.000197430122451858,1
"75","ENSG00000119669",14,77024543,77028708,"IRF2BPL",0.000207442935465161,1,0.000207442935465161,1
"76","ENSG00000101040",20,47209214,47356889,"ZMYND8",0.0949045583236406,0.637,0.000217510471083882,1
"77","ENSG00000182568",3,18345377,18445588,"SATB1",2.57322845759066e-05,0.00306,0.000227870252653031,1
"78","ENSG00000080298",9,3218297,3526004,"RFX3",0.00113142707337534,0.052,0.000238593778599371,1
"79","ENSG00000144285",2,165984641,166149214,"SCN1A",0.0268728858706009,0.294,0.000249359894084769,0.50013
"80","ENSG00000011485",19,46347087,46392981,"PPP5C",0.200087928480299,0.865,0.000260806451740704,0.24144
"81","ENSG00000113595",5,65589690,65625975,"TRIM23",0.290274775139735,0.898,0.000273427997828132,0.37533
"82","ENSG00000131653",16,2155698,2178129,"TRAF7",0.0313704581452817,0.458,0.000286057343743933,0.21091
"83","ENSG00000196361",19,11451326,11481046,"ELAVL3",0.0166296218335859,0.269,0.000299672810818456,NA
"84","ENSG00000120251",4,157204182,157366075,"GRIA2",0.0159916091778013,0.261,0.000314359082902618,NA
"85","ENSG00000148948",11,40114203,41459773,"LRRC4C",0.00804362262838861,0.173,0.000329119639066532,1
"86","ENSG00000157445",3,54122547,55074557,"CACNA2D3",0.0514857652137487,0.474,0.000343990383282081,0.36658
"87","ENSG00000113569",5,37288137,37371106,"NUP155",0.115198576944097,0.714,0.00035919769628231,0.28096
"88","ENSG00000005483",7,105014190,105115019,"KMT2E",0.00170331581197981,0.0918,0.000374847866204666,0.14663
"89","ENSG00000151623",4,148078762,148444698,"NR3C2",5.96089287295098e-08,1.6e-05,0.000390792943923642,0.11863
"90","ENSG00000160877",19,13116862,13141147,"NACC1",0.027921632989891,0.339,0.000406822334073137,NA
"91","ENSG00000112655",6,43076307,43161719,"PTK7",0.160739561522711,0.753,0.000423470882027373,0.36658
"92","ENSG00000108819",17,50133737,50150677,"PPP1R9B",0.534132103087531,0.966,0.000440141096171537,NA
"93","ENSG00000145864",5,161288429,161549044,"GABRB2",0.00247402821723547,0.06,0.000457596431135291,0.37533
"94","ENSG00000115677",2,241227264,241317061,"HDLBP",0.00290547638102082,0.0372,0.000475126421599196,0.61863
"95","ENSG00000160551",17,29390363,29551903,"TAOK1",0.0123555244892306,0.122,0.000492795323292239,0.61863
"96","ENSG00000159459",15,42942897,43106113,"UBR1",0.00049028668311666,0.0306,0.000510569336958132,0.17255
"97","ENSG00000120156",9,27109141,27230174,"TEK",0.0183445312598211,0.257,0.000528383402123693,1
"98","ENSG00000156113",10,76869601,77638369,"KCNMA1",0.236745849561174,0.813,0.00054669170403321,NA
"99","ENSG00000102879",16,30182827,30189076,"CORO1A",0.132233772482998,0.668,0.000565011210458089,1
"100","ENSG00000173064",12,112160188,112382439,"HECTD4",0.0202380189325782,0.267,0.000584058577057748,1
"101","ENSG00000084676",2,24491254,24770702,"NCOA1",0.00149408740559045,0.0826,0.000603510296664863,0.11863
"102","ENSG00000160305",21,46458891,46570015,"DIP2A",0.055865491985421,0.48,0.000623193658794007,0.32485
"103","ENSG00000141646",18,51028394,51085045,"SMAD4",0.0326585713729173,0.343,0.00064302466053166,1
"104","ENSG00000198218",3,49029707,49094363,"QRICH1",4.41363847667511e-05,0.00268,0.000663366736738014,0.24144
"105","ENSG00000170921",17,63009556,63427699,"TANC2",0.0996758497453402,0.586,0.000683784954126114,NA
"106","ENSG00000154928",3,134795260,135260467,"EPHB1",0.170453885293421,0.637,0.000704404976597543,0.6252
"107","ENSG00000108001",10,129835233,129973053,"EBF3",0.069502947282783,0.495,0.000725092473774748,NA
"108","ENSG00000196712",17,31094927,31382116,"NF1",0.106496061460342,0.549,0.000745841874351748,0.50833
"109","ENSG00000138411",2,196189099,196593684,"HECW2",0.180507868271465,0.703,0.000766715081728335,0.50013
"110","ENSG00000166477",15,51938025,51971778,"LEO1",0.186814746408956,0.662,0.000788116944139164,0.61863
"111","ENSG00000149571",11,126423358,127003460,"KIRREL3",0.240053399989482,0.865,0.000809711326123354,0.24144
"112","ENSG00000163625",4,84669597,84966690,"WDFY3",0.110680706431776,0.601,0.000831427038771139,1
"113","ENSG00000178175",5,72439903,72507410,"ZNF366",0.000115234541040832,0.00586,0.000853260367878534,1
"114","ENSG00000128594",7,128027071,128032107,"LRRC4",0.0027648902549959,0.0405,0.000875489878744611,0.49138
"115","ENSG00000112739",6,4021267,4064983,"PRPF4B",0.000897763341024542,1,0.000897763341024542,1
"116","ENSG00000038382",5,14143342,14532128,"TRIO",1.91807985714612e-10,6.35e-08,0.00092036241518739,0.058286
"117","ENSG00000186472",7,82754012,83162930,"PCLO",9.14469751188908e-07,0.00013,0.000943071677401872,0.11878
"118","ENSG00000100150",22,31753867,31908033,"DEPDC5",0.0991984156127086,0.718,0.000966106551499271,0.1252
"119","ENSG00000061676",2,182909115,183038858,"NCKAP1",0.531096176787882,0.955,0.000989468894581581,NA
"120","ENSG00000168256",17,42011382,42025644,"NKIRAS2",0.177004938350039,0.712,0.00101360626822931,1
"121","ENSG00000138802",4,109433772,109540896,"SEC24B",0.204141595359912,0.748,0.00103770773790517,1
"122","ENSG00000015171",10,134465,254637,"ZMYND11",4.66856856344213e-05,0.000802,0.00106237005238315,0.49138
"123","ENSG00000151090",3,24117153,24495756,"THRB",0.118671301925346,0.603,0.00108782906361649,NA
"124","ENSG00000138650",4,133149294,133208606,"PCDH10",0.00111348368959318,1,0.00111348368959318,NA
"125","ENSG00000100722",14,88562970,88627596,"ZC3H14",0.0963553277668726,0.622,0.00113909993546199,0.2502
"126","ENSG00000100330",22,29883169,30030868,"MTMR3",0.191928874869819,0.726,0.00116490436766618,1
"127","ENSG00000134186",1,108692310,108702928,"PRPF38B",0.00990014453726929,0.238,0.00119065927715053,0.11863
"128","ENSG00000143776",1,226989865,227318502,"CDC42BPA",0.148097894241983,0.696,0.00121659494456229,0.32485
"129","ENSG00000164134",4,139301505,139420033,"NAA15",0.203717753261277,0.634,0.00124294907895665,0.68228
"130","ENSG00000173276",21,41986831,42010387,"ZBTB21",0.0201377263331088,1,0.00126948397127841,0.61863
"131","ENSG00000108582",17,30378927,30469989,"CPD",0.157482449200467,0.813,0.00129595448406438,0.11863
"132","ENSG00000115524",2,197388515,197435079,"SF3B1",0.00729820050367001,0.117,0.00132251661388205,NA
"133","ENSG00000040731",5,24487100,24644978,"CDH10",0.0776276266625498,0.483,0.00134924897804915,1
"134","ENSG00000065883",7,39950121,40099580,"CDK13",0.139528239873688,0.713,0.00137656447224232,0.24144
"135","ENSG00000088899",20,3162617,3173549,"LZTS3",0.0124338207099725,NA,0.00140413624651063,0.49138
"136","ENSG00000131165",16,89640816,89657738,"CHMP1A",0.00143162754635921,1,0.00143162754635921,NA
"137","ENSG00000181722",3,114314500,115147288,"ZBTB20",0.563927003784658,0.958,0.00145928536635323,NA
"138","ENSG00000198597",19,30228290,30713538,"ZNF536",0.00922258947527162,0.0937,0.00148685156931556,0.49138
"139","ENSG00000076984",19,7903843,7914478,"MAP2K7",0.0567380935299696,0.409,0.00151457686401537,0.36658
"140","ENSG00000185000",8,144314584,144326910,"DGAT1",0.0784583739926399,0.447,0.00154245939335064,0.45356
"141","ENSG00000175087",1,26111165,26125555,"PDIK1L",0.282190108335748,0.812,0.00157067186780682,NA
"142","ENSG00000100075",22,19175581,19178739,"SLC25A1",0.201204595899363,0.699,0.00159895243600278,0.49138
"143","ENSG00000172845",2,173880850,173965373,"SP3",0.00444441535899539,0.0779,0.00162729738373452,NA
"144","ENSG00000096384",6,44246166,44253888,"HSP90AB1",0.0039685947186353,0.0714,0.00165579213769376,1
"145","ENSG00000196296",16,28878405,28904466,"ATP2A1",0.0425758726696374,0.425,0.00168443484077851,0.20306
"146","ENSG00000136448",17,44957992,45109016,"NMT1",0.128330528914434,0.555,0.00171304287795938,0.50013
"147","ENSG00000088367",20,36091504,36232799,"EPB41L1",0.0103407693297111,0.138,0.00174179267392577,1
"148","ENSG00000080503",9,1980290,2193624,"SMARCA2",0.00515524941226357,0.0845,0.00177059075454401,1
"149","ENSG00000082701",3,119821321,120094994,"GSK3B",0.0212390105108232,0.263,0.0017993411695444,0.24144
"150","ENSG00000079102",8,91954967,92103286,"RUNX1T1",0.0976905542209845,0.477,0.00182831691292004,0.49138
"151","ENSG00000137193",6,37170152,37175428,"PIM1",0.327034233294442,0.842,0.00185733103640356,NA
"152","ENSG00000023902",1,150149183,150164720,"PLEKHO1",0.230529171142371,0.75,0.00188656801212633,NA
"153","ENSG00000214022",7,150368189,150374044,"REPIN1",0.00392108718525489,0.236,0.00191593312788668,0.014069
"154","ENSG00000170315",17,16380798,16382745,"UBB",0.0755074506972145,0.453,0.00194523386411124,1
"155","ENSG00000198719",6,170282206,170306565,"DLL1",0.0271328659859966,0.251,0.0019746565500334,NA
"156","ENSG00000197170",17,67337916,67366605,"PSMD12",0.0153455210587067,NA,0.0020040061899438,0.49138
"157","ENSG00000087085",7,100889994,100896974,"ACHE",0.00308227481256774,0.0555,0.00203347158921181,1
"158","ENSG00000152601",3,152243828,152465780,"MBNL1",0.528735205325865,0.942,0.00206295308336377,1
"159","ENSG00000151693",2,9206765,9405683,"ASAP2",0.174765967152615,0.551,0.00209274223741271,0.68228
"160","ENSG00000161526",17,75667251,75708062,"SAP30BP",0.245089414043199,0.8,0.00212244472670194,0.33578
"161","ENSG00000114933",2,205993721,206086303,"INO80D",0.0102814428833,0.13,0.00215245363782014,1
"162","ENSG00000136574",8,11676959,11760002,"GATA4",0.0352628556652524,0.238,0.00218257026085399,0.49138
"163","ENSG00000198780",5,74777574,74866966,"FAM169A",0.00221269183615983,1,0.00221269183615983,1
"164","ENSG00000215421",18,74597870,75065671,"ZNF407",0.244412772861679,0.757,0.00224291617110932,1
"165","ENSG00000155380",1,112911847,112957593,"SLC16A1",0.305166590165019,0.816,0.00227313926799081,1
"166","ENSG00000066322",1,43363398,43368074,"ELOVL1",0.174112728016589,0.661,0.00230346017224398,NA
"167","ENSG00000206203",22,19131308,19132622,"TSSK2",0.00497119381422236,1,0.00233377364808918,0.24144
"168","ENSG00000146006",5,138868921,138875368,"LRRTM2",0.0394579499499312,0.364,0.00236438797445737,0.24144
"169","ENSG00000166313",11,6395124,6419414,"APBB1",0.00579120974262042,0.0839,0.00239509577495925,1
"170","ENSG00000072803",5,171861549,172006873,"FBXW11",0.0387562672733493,0.249,0.00242589519249283,0.49138
"171","ENSG00000161202",3,184155377,184173614,"DVL3",0.248656275032239,0.757,0.00245689022476976,1
"172","ENSG00000196843",2,96536743,96552634,"ARID5A",0.0912122743244174,0.38,0.00248808087179004,0.61863
"173","ENSG00000184408",7,120273175,120750337,"KCND2",0.32382463748904,0.816,0.00251968131931695,0.50013
"174","ENSG00000213923",22,38290691,38318084,"CSNK1E",0.0362974364893422,0.285,0.00255147985772321,NA
"175","ENSG00000094880",5,138187650,138213343,"CDC23",0.253463085177342,0.693,0.00258336815605916,0.61863
"176","ENSG00000092148",14,31100112,31207804,"HECTD1",0.116074809325613,0.411,0.00261567120717374,0.68228
"177","ENSG00000105926",7,24573268,24694193,"MPP6",0.0030384180016088,0.0502,0.00264806401821802,1
"178","ENSG00000175727",12,122078756,122147344,"MLXIP",0.00918875556664102,0.0783,0.00268054473209001,0.49138
"179","ENSG00000163479",1,156009048,156020951,"SSR2",0.00271311149168771,1,0.00271311149168771,1
"180","ENSG00000167658",19,3976056,3985463,"EEF2",0.010450066017203,0.123,0.0027456510137895,NA
"181","ENSG00000178385",2,207821288,208025527,"PLEKHM3",0.0114860028209685,0.131,0.00277827162934502,1
"182","ENSG00000143207",1,175944831,176207286,"COP1",0.214482897156605,0.708,0.00281097148125228,1
"183","ENSG00000171044",8,10896045,11201833,"XKR6",2.03552581489564e-05,0.00033,0.00284374871240928,0.36658
"184","ENSG00000141956",21,41798225,41879482,"PRDM15",0.00622716056853727,0.0836,0.00287671536796966,1
"185","ENSG00000114982",2,96593170,96642787,"KANSL3",0.00261758031709537,0.0433,0.00290975692664378,1
"186","ENSG00000108510",17,61942605,62065278,"MED13",0.0297187502608559,0.196,0.00294298667165327,0.49138
"187","ENSG00000130226",7,153887097,154894285,"DPP6",0.00657316489466048,0.124,0.00297617308428291,0.17273
"188","ENSG00000137075",9,36336396,36487548,"RNF38",0.0141707415224043,0.179,0.00300942882872032,0.24144
"189","ENSG00000158796",1,161120974,161132688,"DEDD",0.0136329812673152,0.144,0.00304298604271473,1
"190","ENSG00000115421",2,60756253,60802086,"PAPOLG",0.496435086307367,0.897,0.0030764937339893,0.6252
"191","ENSG00000073712",14,52857268,52952435,"FERMT2",0.0328836607015025,1,0.00311006642383366,0.61863
"192","ENSG00000161217",3,196214222,196287957,"PCYT1A",0.0267883389190122,0.225,0.00314370225514581,1
"193","ENSG00000116604",1,156463727,156500779,"MEF2D",0.0521552022139876,0.34,0.00317739937082375,1
"194","ENSG00000184232",11,120211032,120230334,"OAF",0.167376963478779,0.629,0.00321115591376549,1
"195","ENSG00000162959",2,31865060,32011230,"MEMO1",0.00324484931523945,NA,0.00324484931523945,NA
"196","ENSG00000072134",17,19215615,19336715,"EPN2",0.0466257014878396,0.316,0.00327871852236882,1
"197","ENSG00000125730",19,6677704,6730562,"C3",0.25357962565323,0.71,0.00331251963575841,0.54224
"198","ENSG00000162104",16,3953387,4116442,"ADCY9",0.46724212321125,0.906,0.00334637150993584,1
"199","ENSG00000197535",15,52307283,52529050,"MYO5A",0.00046530487866421,0.00518,0.00338051866333029,0.44535
"200","ENSG00000084731",2,25926598,25982749,"KIF3C",0.000137028783727398,0.00352,0.00341471533944457,NA
"201","ENSG00000179010",4,6640091,6642745,"MRFAP1",0.00344895968117669,1,0.00344895968117669,NA
"202","ENSG00000174485",15,65658046,65792293,"DENND4A",0.43840596899752,0.838,0.00348324983142466,0.68775
"203","ENSG00000135250",7,105110704,105399308,"SRPK2",0.371874490579712,0.849,0.0035174582691849,1
"204","ENSG00000150347",10,61901684,62096944,"ARID5B",0.0193604414950801,0.176,0.00355183384612459,NA
"205","ENSG00000070808",5,150219491,150290093,"CAMK2A",0.00506092013843337,0.0421,0.00358624966027414,0.49138
"206","ENSG00000141367",17,59619689,59696956,"CLTC",0.00202350970867602,0.0326,0.00362083137553514,1
"207","ENSG00000018189",4,70704204,70808619,"RUFY3",0.152271252077359,0.808,0.00365557899190759,0.058286
"208","ENSG00000172780",3,129087569,129122801,"RAB43",0.138820028988825,0.567,0.00369062126846306,NA
"209","ENSG00000196531",12,56712305,56731628,"NACA",0.328069964836405,0.868,0.00372557192798683,0.28096
"210","ENSG00000102974",16,67562467,67639177,"CTCF",0.00255087290510415,0.0386,0.0037609472448332,NA
"211","ENSG00000107485",10,8045378,8075198,"GATA3",0.000622824785132942,0.0122,0.00379622846851187,1
"212","ENSG00000112078",6,36442767,36491143,"KCTD20",0.234068466915468,0.715,0.00383154312002643,1
"213","ENSG00000156395",10,104641290,105265242,"SORCS3",0.111375640508534,0.504,0.00386702119651645,1
"214","ENSG00000189056",7,103471381,103989658,"RELN",0.0121988784435738,0.0867,0.00390266269798193,0.50067
"215","ENSG00000162599",1,60865259,61462788,"NFIA",0.328873000064258,0.811,0.00393846762442286,1
"216","ENSG00000151150",10,60026298,60733490,"ANK3",0.00845860186054342,0.0473,0.00397443597583925,0.61863
"217","ENSG00000080802",7,135361795,135510127,"CNOT4",7.59925942831696e-05,0.00192,0.0040105677522311,1
"218","ENSG00000141837",19,13206442,13633025,"CACNA1A",0.199036606076331,0.693,0.00404672800418685,0.36658
"219","ENSG00000036257",2,224470150,224585397,"CUL3",0.127245640413362,0.536,0.00408291487460451,NA
"220","ENSG00000088812",20,3471018,3651118,"ATRN",0.305418629629051,0.788,0.00411912650638209,1
"221","ENSG00000181090",9,137618992,137870016,"EHMT1",0.280414122570338,0.763,0.00415549784893114,1
"222","ENSG00000088038",19,54137749,54155681,"CNOT3",0.481109727539825,0.906,0.00419189147670412,NA
"223","ENSG00000100354",22,40044817,40335808,"TNRC6B",0.218654949579203,0.689,0.00422830553259902,1
"224","ENSG00000104435",8,79611117,79666158,"STMN2",0.280817129812756,0.762,0.00426487682312941,1
"225","ENSG00000163104",4,94207611,94291292,"SMARCAD1",0.000261836134262629,0.00549,0.00430146606564573,1
"226","ENSG00000143816",1,227918656,227947932,"WNT9A",0.150196631765819,0.578,0.004338071403046,NA
"227","ENSG00000078687",17,77959240,78108835,"TNRC6C",0.1375056660093,0.457,0.00437469097822823,0.61863
"228","ENSG00000108509",17,4967992,4987675,"CAMTA2",0.00407878100826365,0.0183,0.00441132293409041,0.68775
"229","ENSG00000018236",12,40692439,41072415,"CNTN1",0.05301707036595,0.401,0.00444810717231609,0.21912
"230","ENSG00000138398",2,169584342,169641406,"PPIG",0.383520371877557,0.937,0.00448504369290526,0.1252
"231","ENSG00000126705",1,27534035,27604431,"AHDC1",0.0045219894990044,1,0.0045219894990044,NA
"232","ENSG00000143365",1,151806071,151831845,"RORC",0.177053705288386,0.622,0.00455894273351151,1
"233","ENSG00000123636",2,159318979,159616569,"BAZ2B",0.0646198363900792,0.26,0.00459604577424612,0.6252
"234","ENSG00000107164",9,130578965,130638352,"FUBP3",0.140912211760264,0.722,0.00463329862120824,0.11863
"235","ENSG00000115504",2,62673851,63046487,"EHBP1",0.250598948332931,0.724,0.00467070127439786,0.44535
"236","ENSG00000022355",5,161847063,161899981,"GABRA1",0.0211758130543618,0.174,0.00470796154976796,1
"237","ENSG00000119042",2,199269500,199471266,"SATB2",0.00474536915522956,1,0.00474536915522956,NA
"238","ENSG00000159256",21,36320189,36386148,"MORC3",0.00504208714715507,0.0602,0.00478277676069116,1
"239","ENSG00000179981",18,75210755,75289950,"TSHZ1",0.148283420776304,0.567,0.00482033045817628,1
"240","ENSG00000107560",10,118004916,118046941,"RAB11FIP2",0.047161483692164,0.351,0.00485803024768491,0.2502
"241","ENSG00000250571",8,143267433,143276931,"GLI4",0.191328146817684,0.64,0.00489572694202355,1
"242","ENSG00000107105",9,23690104,23826337,"ELAVL2",0.00493356849031771,1,0.00493356849031771,NA
"243","ENSG00000070367",14,57200507,57268905,"EXOC5",0.00732699029262636,0.0791,0.00497155489256739,NA
"244","ENSG00000188191",7,549197,727650,"PRKAR1B",0.00573429808859442,0.0782,0.00500938406018159,0.24144
"245","ENSG00000127804",17,2405562,2511891,"METTL16",0.0106263388779549,0.104,0.00504750726894482,1
"246","ENSG00000165868",10,116671192,116850251,"HSPA12A",0.0430643994195784,1,0.00508546952886858,0.61863
"247","ENSG00000104388",8,60516936,60623644,"RAB2A",0.00512372582994136,NA,0.00512372582994136,NA
"248","ENSG00000198742",7,99027440,99144108,"SMURF1",0.248888925505794,0.643,0.00516197098840217,0.61863
"249","ENSG00000244462",20,35648925,35664956,"RBM12",0.0122472341486137,0.127,0.00520020314714904,0.28096
"250","ENSG00000138443",2,203328280,203447728,"ABI2",0.0954865125227376,0.396,0.00523857520757943,0.50013
"251","ENSG00000009335",7,157138916,157269370,"UBE3C",0.351860953912773,0.816,0.00527693179215988,1
"252","ENSG00000043143",5,134524312,134583230,"JADE2",0.0520278177822434,0.307,0.00531527104378838,1
"253","ENSG00000140350",15,68778535,68820897,"ANP32A",0.00198267394024468,0.0274,0.00535359110536295,1
